xres,yres,xthreads,ythreads,render_time,real_time,application_type,run
2400,2400,8,8,1000,5746,cuda,2
2400,2400,12,12,1250,6099,cuda,2
2400,2400,16,16,989,5727,cuda,2
2400,2400,20,20,1089,5857,cuda,2
2400,2400,22,22,1102,5720,cuda,2
2400,2400,,,4456,4591,sequential,2
4800,4800,1,1,160991,166168,cuda,2
4800,4800,2,2,40460,45765,cuda,2
4800,4800,4,4,10008,15241,cuda,2
4800,4800,8,8,3893,9079,cuda,2
4800,4800,12,12,4899,10331,cuda,2
4800,4800,16,16,3848,9114,cuda,2
4800,4800,20,20,4217,9481,cuda,2
4800,4800,22,22,4229,9775,cuda,2
4800,4800,,,17422,17949,sequential,2
8000,8000,1,1,447736,454369,cuda,2
8000,8000,2,2,112416,119120,cuda,2
8000,8000,4,4,27791,34427,cuda,2
8000,8000,8,8,10718,17476,cuda,2
8000,8000,12,12,13502,20154,cuda,2
8000,8000,16,16,10562,17189,cuda,2
8000,8000,20,20,11564,18481,cuda,2
8000,8000,22,22,11537,18266,cuda,2
8000,8000,,,48383,49843,sequential,2
9600,9600,1,1,643006,650462,cuda,2
9600,9600,2,2,161424,169102,cuda,2
9600,9600,4,4,39827,47379,cuda,2
9600,9600,8,8,15345,22905,cuda,2
9600,9600,12,12,19316,26870,cuda,2
9600,9600,16,16,15127,22664,cuda,2
9600,9600,20,20,16611,24240,cuda,2
9600,9600,22,22,16572,24365,cuda,2
9600,9600,,,70265,72893,sequential,2
11200,11200,1,1,878088,886787,cuda,2
11200,11200,2,2,220326,228963,cuda,2
11200,11200,4,4,54339,63016,cuda,2
11200,11200,8,8,20882,29521,cuda,2
11200,11200,12,12,26217,34958,cuda,2
11200,11200,16,16,20554,29283,cuda,2
11200,11200,20,20,22560,31437,cuda,2
11200,11200,22,22,22492,31175,cuda,2
11200,11200,,,95241,98112,sequential,2
12800,12800,1,1,1142088,1152128,cuda,2
12800,12800,2,2,286604,296491,cuda,2
12800,12800,4,4,70672,80591,cuda,2
12800,12800,8,8,27223,37116,cuda,2
12800,12800,12,12,34169,44239,cuda,2
12800,12800,16,16,26783,36697,cuda,2
12800,12800,20,20,29428,39320,cuda,2
12800,12800,22,22,29270,39229,cuda,2
12800,12800,,,124616,128364,sequential,2
14400,14400,1,1,1448804,1460133,cuda,2
14400,14400,2,2,363627,375002,cuda,2
14400,14400,4,4,89627,100995,cuda,2
14400,14400,8,8,34508,46070,cuda,2
14400,14400,12,12,43356,55665,cuda,2
14400,14400,16,16,33931,45293,cuda,2
14400,14400,20,20,37201,48634,cuda,2
14400,14400,22,22,37069,48379,cuda,2
14400,14400,,,156304,161022,sequential,2
16000,16000,1,1,1785677,1798679,cuda,2
16000,16000,2,2,448088,461058,cuda,2
16000,16000,4,4,110489,123444,cuda,2
16000,16000,8,8,42558,55730,cuda,2
16000,16000,12,12,53457,66433,cuda,2
16000,16000,16,16,41843,54823,cuda,2
16000,16000,20,20,45873,59049,cuda,2
16000,16000,22,22,45703,58639,cuda,2
16000,16000,,,193914,199784,sequential,2
64,64,1,1,44,4661,cuda,3
64,64,2,2,24,4535,cuda,3
64,64,4,4,19,4539,cuda,3
64,64,8,8,16,4590,cuda,3
64,64,12,12,18,4542,cuda,3
64,64,16,16,16,4692,cuda,3
64,64,20,20,18,4527,cuda,3
64,64,22,22,19,4616,cuda,3
64,64,,,3,6,sequential,3
160,160,1,1,194,4793,cuda,3
160,160,2,2,62,4583,cuda,3
160,160,4,4,28,4541,cuda,3
160,160,8,8,22,4527,cuda,3
160,160,12,12,24,4629,cuda,3
160,160,16,16,22,4660,cuda,3
160,160,20,20,24,4535,cuda,3
160,160,22,22,24,4545,cuda,3
160,160,,,19,22,sequential,3
240,240,1,1,419,4997,cuda,3
240,240,2,2,120,4637,cuda,3
240,240,4,4,43,4775,cuda,3
240,240,8,8,27,4544,cuda,3
240,240,12,12,31,4599,cuda,3
240,240,16,16,29,4562,cuda,3
240,240,20,20,31,4547,cuda,3
240,240,22,22,30,4579,cuda,3
240,240,,,45,50,sequential,3
480,480,1,1,1625,6252,cuda,3
480,480,2,2,426,4939,cuda,3
480,480,4,4,120,4645,cuda,3
480,480,8,8,59,4624,cuda,3
480,480,12,12,70,4606,cuda,3
480,480,16,16,61,4608,cuda,3
480,480,20,20,65,4583,cuda,3
480,480,22,22,66,4677,cuda,3
480,480,,,173,182,sequential,3
800,800,1,1,4484,9059,cuda,3
800,800,2,2,1148,5710,cuda,3
800,800,4,4,300,4828,cuda,3
800,800,8,8,131,4657,cuda,3
800,800,12,12,162,4687,cuda,3
800,800,16,16,132,4771,cuda,3
800,800,20,20,145,4723,cuda,3
800,800,22,22,147,4672,cuda,3
800,800,,,481,499,sequential,3
960,960,1,1,6451,10975,cuda,3
