xres,yres,xthreads,ythreads,render_time,real_time,application_type,run,render_speedup,real_speedup
14400,14400,22,22,37082,48391,cuda,1,4.242516585,3.348990515
14400,14400,,,157321,162061,sequential,1,1,1
16000,16000,1,1,1788725,1801859,cuda,1,0.107436302,0.109888177
16000,16000,2,2,448430,461519,cuda,1,0.428548491,0.429024591
16000,16000,4,4,110507,123393,cuda,1,1.739021057,1.604653424
16000,16000,8,8,42534,55434,cuda,1,4.518126675,3.57186925
16000,16000,12,12,53461,66363,cuda,1,3.594657788,2.98363546
16000,16000,16,16,41851,54815,cuda,1,4.591861604,3.612204688
16000,16000,20,20,45872,58801,cuda,1,4.189352982,3.367340691
16000,16000,22,22,45707,58597,cuda,1,4.204476338,3.379063775
16000,16000,,,192174,198003,sequential,1,1,1
